product_name,short_description,longer_description,product_details,product_id
2-lb Spool 95/5 Lead-Free Solder,Tin-antimony alloy for potable copper brazing,"2-lb Spool 95/5 Lead-Free Solder is a trusted product in the plumbing and HVAC trade. Tin-antimony alloy for potable copper brazing It offers proven reliability, making it a staple for contractors and facility managers.","2-lb Spool 95/5 Lead-Free Solder
Tin-antimony alloy for potable copper brazing
2-lb Spool 95/5 Lead-Free Solder is a trusted product in the plumbing and HVAC trade. Tin-antimony alloy for potable copper brazing It offers proven reliability, making it a staple for contractors and facility managers.",d6688450-16d3-4d63-9a75-b67b5e558178
Water-Soluble Flux Paste,"Non-petroleum flux, rinses clean to prevent corrosion","Water-Soluble Flux Paste is a trusted product in the plumbing and HVAC trade. Non-petroleum flux, rinses clean to prevent corrosion It offers proven reliability, making it a staple for contractors and facility managers.","Water-Soluble Flux Paste
Non-petroleum flux, rinses clean to prevent corrosion
Water-Soluble Flux Paste is a trusted product in the plumbing and HVAC trade. Non-petroleum flux, rinses clean to prevent corrosion It offers proven reliability, making it a staple for contractors and facility managers.",ba068dab-b87c-45a8-90b1-e32a5ccf44ed
14-oz Bronze Head Plumber’s Hammer,Double-face hammer for lead or copper work,"14-oz Bronze Head Plumber’s Hammer is a trusted product in the plumbing and HVAC trade. Double-face hammer for lead or copper work It offers proven reliability, making it a staple for contractors and facility managers.","14-oz Bronze Head Plumber’s Hammer
Double-face hammer for lead or copper work
14-oz Bronze Head Plumber’s Hammer is a trusted product in the plumbing and HVAC trade. Double-face hammer for lead or copper work It offers proven reliability, making it a staple for contractors and facility managers.",e3ffb370-2c9d-48cb-ab9c-2263358f5e4a
18-in Aluminum Pipe Wrench,Lightweight I-beam handle with replaceable jaws,"18-in Aluminum Pipe Wrench provides a reliable solution for plumbing and mechanical systems. Lightweight I-beam handle with replaceable jaws It is commonly used by contractors and homeowners for new installations, retrofits, or repairs where durability and compatibility with standard fittings are essential.","18-in Aluminum Pipe Wrench
Lightweight I-beam handle with replaceable jaws
18-in Aluminum Pipe Wrench provides a reliable solution for plumbing and mechanical systems. Lightweight I-beam handle with replaceable jaws It is commonly used by contractors and homeowners for new installations, retrofits, or repairs where durability and compatibility with standard fittings are essential.",13f8c91d-fe6f-4ed8-995e-a81ed1bdaa41
"PVC Ratcheting Cutter, up to 1 ⅝""","One-handed tool for clean, square cuts","PVC Ratcheting Cutter, up to 1 ⅝"" is a professional-grade tool built for plumbing or construction work. One-handed tool for clean, square cuts It offers durability, precision, and ease of use, making jobs faster and more efficient.","PVC Ratcheting Cutter, up to 1 ⅝""
One-handed tool for clean, square cuts
PVC Ratcheting Cutter, up to 1 ⅝"" is a professional-grade tool built for plumbing or construction work. One-handed tool for clean, square cuts It offers durability, precision, and ease of use, making jobs faster and more efficient.",c157a941-8415-4ab2-8d33-596867fe21fe
"Cordless Press Tool, 18 V","Crimps copper, PEX, stainless fittings up to 1¼""","Cordless Press Tool, 18 V is a professional-grade tool built for plumbing or construction work. Crimps copper, PEX, stainless fittings up to 1¼"" It offers durability, precision, and ease of use, making jobs faster and more efficient.","Cordless Press Tool, 18 V
Crimps copper, PEX, stainless fittings up to 1¼""
Cordless Press Tool, 18 V is a professional-grade tool built for plumbing or construction work. Crimps copper, PEX, stainless fittings up to 1¼"" It offers durability, precision, and ease of use, making jobs faster and more efficient.",77604574-bdb0-450a-9630-78598d0f7eed
20-V Brushless Hammer Drill Kit,"Two batteries, charger, and contractor bag","20-V Brushless Hammer Drill Kit is a professional-grade tool built for plumbing or construction work. Two batteries, charger, and contractor bag It offers durability, precision, and ease of use, making jobs faster and more efficient.","20-V Brushless Hammer Drill Kit
Two batteries, charger, and contractor bag
20-V Brushless Hammer Drill Kit is a professional-grade tool built for plumbing or construction work. Two batteries, charger, and contractor bag It offers durability, precision, and ease of use, making jobs faster and more efficient.",efdc5141-bf60-4d90-88c2-0a65150fad37
"Hole Saw Set, ¾""–4⅝""","Bi-metal teeth for wood, plastic, and thin metal","Hole Saw Set, ¾""–4⅝"" is a trusted product in the plumbing and HVAC trade. Bi-metal teeth for wood, plastic, and thin metal It offers proven reliability, making it a staple for contractors and facility managers.","Hole Saw Set, ¾""–4⅝""
Bi-metal teeth for wood, plastic, and thin metal
Hole Saw Set, ¾""–4⅝"" is a trusted product in the plumbing and HVAC trade. Bi-metal teeth for wood, plastic, and thin metal It offers proven reliability, making it a staple for contractors and facility managers.",176ee208-b8bd-4364-9613-e08efc2d20e1
"Laser Distance Meter, 200 ft","Backlit display, ±1/16"" accuracy, Bluetooth data export","Laser Distance Meter, 200 ft is a trusted product in the plumbing and HVAC trade. Backlit display, ±1/16"" accuracy, Bluetooth data export It offers proven reliability, making it a staple for contractors and facility managers.","Laser Distance Meter, 200 ft
Backlit display, ±1/16"" accuracy, Bluetooth data export
Laser Distance Meter, 200 ft is a trusted product in the plumbing and HVAC trade. Backlit display, ±1/16"" accuracy, Bluetooth data export It offers proven reliability, making it a staple for contractors and facility managers.",7b50ff90-20c4-4f91-ac7f-d0de19c4ab5a
"Pipe Freezing Kit, CO₂",Temporarily plug water lines for live repairs,"Pipe Freezing Kit, CO₂ provides a reliable solution for plumbing and mechanical systems. Temporarily plug water lines for live repairs It is commonly used by contractors and homeowners for new installations, retrofits, or repairs where durability and compatibility with standard fittings are essential.","Pipe Freezing Kit, CO₂
Temporarily plug water lines for live repairs
Pipe Freezing Kit, CO₂ provides a reliable solution for plumbing and mechanical systems. Temporarily plug water lines for live repairs It is commonly used by contractors and homeowners for new installations, retrofits, or repairs where durability and compatibility with standard fittings are essential.",05bf3a00-c3b8-4045-b914-fc01b2d54dd9
"Drain Auger, 50 ft x ⅜""","Manual drum snake for 1½–3"" lines","Drain Auger, 50 ft x ⅜"" is a trusted product in the plumbing and HVAC trade. Manual drum snake for 1½–3"" lines It offers proven reliability, making it a staple for contractors and facility managers.","Drain Auger, 50 ft x ⅜""
Manual drum snake for 1½–3"" lines
Drain Auger, 50 ft x ⅜"" is a trusted product in the plumbing and HVAC trade. Manual drum snake for 1½–3"" lines It offers proven reliability, making it a staple for contractors and facility managers.",f2feac85-d9bc-4e55-907d-348b55693590
"1-hp Cast-Iron Sewage Pump, 2"" Solids","Automatic float switch, 2"" FNPT discharge","1-hp Cast-Iron Sewage Pump, 2"" Solids delivers reliable water or fluid movement. Automatic float switch, 2"" FNPT discharge Its robust construction supports consistent operation in demanding environments like basements, hydronic systems, or sewage applications.","1-hp Cast-Iron Sewage Pump, 2"" Solids
Automatic float switch, 2"" FNPT discharge
1-hp Cast-Iron Sewage Pump, 2"" Solids delivers reliable water or fluid movement. Automatic float switch, 2"" FNPT discharge Its robust construction supports consistent operation in demanding environments like basements, hydronic systems, or sewage applications.",67aec828-c38b-4652-924c-5b76a617df50
"Sump Basin with Locking Lid, 24""",Structural foam basin for basement water removal,"Sump Basin with Locking Lid, 24"" is a trusted product in the plumbing and HVAC trade. Structural foam basin for basement water removal It offers proven reliability, making it a staple for contractors and facility managers.","Sump Basin with Locking Lid, 24""
Structural foam basin for basement water removal
Sump Basin with Locking Lid, 24"" is a trusted product in the plumbing and HVAC trade. Structural foam basin for basement water removal It offers proven reliability, making it a staple for contractors and facility managers.",6457ae6e-a27b-437a-a50f-9174e694187c
"Water Alarm Sensor, Battery",90 dB alert when moisture is detected under appliances,"Water Alarm Sensor, Battery is a trusted product in the plumbing and HVAC trade. 90 dB alert when moisture is detected under appliances It offers proven reliability, making it a staple for contractors and facility managers.","Water Alarm Sensor, Battery
90 dB alert when moisture is detected under appliances
Water Alarm Sensor, Battery is a trusted product in the plumbing and HVAC trade. 90 dB alert when moisture is detected under appliances It offers proven reliability, making it a staple for contractors and facility managers.",4e650136-bfb2-4e28-88c7-bdb0964c63e6
"¾-in Backflow Preventer, Double Check",ASSE 1015-compliant for lawn-irrigation systems,"¾-in Backflow Preventer, Double Check is a trusted product in the plumbing and HVAC trade. ASSE 1015-compliant for lawn-irrigation systems It offers proven reliability, making it a staple for contractors and facility managers.","¾-in Backflow Preventer, Double Check
ASSE 1015-compliant for lawn-irrigation systems
¾-in Backflow Preventer, Double Check is a trusted product in the plumbing and HVAC trade. ASSE 1015-compliant for lawn-irrigation systems It offers proven reliability, making it a staple for contractors and facility managers.",590783de-32b7-4e66-9b6e-bbb7545c1193
"½"" Frost-Free Wall Hydrant, 10""",Anti-siphon vacuum breaker and stainless stem,"½"" Frost-Free Wall Hydrant, 10"" is a trusted product in the plumbing and HVAC trade. Anti-siphon vacuum breaker and stainless stem It offers proven reliability, making it a staple for contractors and facility managers.","½"" Frost-Free Wall Hydrant, 10""
Anti-siphon vacuum breaker and stainless stem
½"" Frost-Free Wall Hydrant, 10"" is a trusted product in the plumbing and HVAC trade. Anti-siphon vacuum breaker and stainless stem It offers proven reliability, making it a staple for contractors and facility managers.",5499e3e3-eac7-44d6-b46f-a0acb82b5464
"Yard Hydrant, 3 ft Bury",Freezeless hydrant with adjustable linkage and blue handle,"Yard Hydrant, 3 ft Bury is a trusted product in the plumbing and HVAC trade. Freezeless hydrant with adjustable linkage and blue handle It offers proven reliability, making it a staple for contractors and facility managers.","Yard Hydrant, 3 ft Bury
Freezeless hydrant with adjustable linkage and blue handle
Yard Hydrant, 3 ft Bury is a trusted product in the plumbing and HVAC trade. Freezeless hydrant with adjustable linkage and blue handle It offers proven reliability, making it a staple for contractors and facility managers.",209f9a94-2d6c-4ea5-97a4-4d852689b5a3
Hose Bibb Vacuum Breaker,Atmospheric backflow protection for hose connections,"Hose Bibb Vacuum Breaker is a trusted product in the plumbing and HVAC trade. Atmospheric backflow protection for hose connections It offers proven reliability, making it a staple for contractors and facility managers.","Hose Bibb Vacuum Breaker
Atmospheric backflow protection for hose connections
Hose Bibb Vacuum Breaker is a trusted product in the plumbing and HVAC trade. Atmospheric backflow protection for hose connections It offers proven reliability, making it a staple for contractors and facility managers.",82e7b938-e311-478f-b115-f05485b39481
"5-Stage Reverse Osmosis Filter, 75 gpd","Includes faucet, storage tank, replacement cartridges","5-Stage Reverse Osmosis Filter, 75 gpd improves water quality by removing impurities. Includes faucet, storage tank, replacement cartridges Ideal for residential systems, it helps protect appliances, improve taste, and ensure safer water for everyday use.","5-Stage Reverse Osmosis Filter, 75 gpd
Includes faucet, storage tank, replacement cartridges
5-Stage Reverse Osmosis Filter, 75 gpd improves water quality by removing impurities. Includes faucet, storage tank, replacement cartridges Ideal for residential systems, it helps protect appliances, improve taste, and ensure safer water for everyday use.",344ce166-0127-4faa-b97b-924c780107bc
"1"" Whole-House Water Softener, 48 k Grains","Meter-demand valve, high-capacity resin tank","1"" Whole-House Water Softener, 48 k Grains improves water quality by removing impurities. Meter-demand valve, high-capacity resin tank Ideal for residential systems, it helps protect appliances, improve taste, and ensure safer water for everyday use.","1"" Whole-House Water Softener, 48 k Grains
Meter-demand valve, high-capacity resin tank
1"" Whole-House Water Softener, 48 k Grains improves water quality by removing impurities. Meter-demand valve, high-capacity resin tank Ideal for residential systems, it helps protect appliances, improve taste, and ensure safer water for everyday use.",c05998e0-d4c1-4842-bef0-ca3b517fc006
"Point-of-Use UV Sterilizer, 1 gpm","30,000 µWs/cm² UV dose for bacteria in drinking lines","Point-of-Use UV Sterilizer, 1 gpm improves water quality by removing impurities. 30,000 µWs/cm² UV dose for bacteria in drinking lines Ideal for residential systems, it helps protect appliances, improve taste, and ensure safer water for everyday use.","Point-of-Use UV Sterilizer, 1 gpm
30,000 µWs/cm² UV dose for bacteria in drinking lines
Point-of-Use UV Sterilizer, 1 gpm improves water quality by removing impurities. 30,000 µWs/cm² UV dose for bacteria in drinking lines Ideal for residential systems, it helps protect appliances, improve taste, and ensure safer water for everyday use.",8274dd35-1436-42f4-8618-f30f1776e446
"Leak-Smart Automatic Shut-Off Valve, 1""",Motorized ball valve controlled by Wi-Fi sensors,"Leak-Smart Automatic Shut-Off Valve, 1"" is designed to regulate or stop the flow of liquids or gases. Motorized ball valve controlled by Wi-Fi sensors Often installed at critical control points, it helps ensure safety, efficiency, and easy maintenance of plumbing and HVAC systems.","Leak-Smart Automatic Shut-Off Valve, 1""
Motorized ball valve controlled by Wi-Fi sensors
Leak-Smart Automatic Shut-Off Valve, 1"" is designed to regulate or stop the flow of liquids or gases. Motorized ball valve controlled by Wi-Fi sensors Often installed at critical control points, it helps ensure safety, efficiency, and easy maintenance of plumbing and HVAC systems.",9a2bc784-de6b-4c53-9188-755dcbc58007
"4-Zone Irrigation Controller, Outdoor",Weather-based scheduling with smartphone app,"4-Zone Irrigation Controller, Outdoor is a trusted product in the plumbing and HVAC trade. Weather-based scheduling with smartphone app It offers proven reliability, making it a staple for contractors and facility managers.","4-Zone Irrigation Controller, Outdoor
Weather-based scheduling with smartphone app
4-Zone Irrigation Controller, Outdoor is a trusted product in the plumbing and HVAC trade. Weather-based scheduling with smartphone app It offers proven reliability, making it a staple for contractors and facility managers.",95786f72-ad39-4a3d-a5f1-ce70a86cbcbc
"1 ½"" Rain Sensor for Irrigation",Shuts off sprinklers after adjustable rainfall,"1 ½"" Rain Sensor for Irrigation is a trusted product in the plumbing and HVAC trade. Shuts off sprinklers after adjustable rainfall It offers proven reliability, making it a staple for contractors and facility managers.","1 ½"" Rain Sensor for Irrigation
Shuts off sprinklers after adjustable rainfall
1 ½"" Rain Sensor for Irrigation is a trusted product in the plumbing and HVAC trade. Shuts off sprinklers after adjustable rainfall It offers proven reliability, making it a staple for contractors and facility managers.",60a97e75-3f7d-453e-920b-cd8391c12c6e
15 gpm Sand Separator,Centrifugal action removes grit from well water,"15 gpm Sand Separator is a trusted product in the plumbing and HVAC trade. Centrifugal action removes grit from well water It offers proven reliability, making it a staple for contractors and facility managers.","15 gpm Sand Separator
Centrifugal action removes grit from well water
15 gpm Sand Separator is a trusted product in the plumbing and HVAC trade. Centrifugal action removes grit from well water It offers proven reliability, making it a staple for contractors and facility managers.",ca59a304-4b32-4656-834b-25ce34412391
3 in ABS DWV Sanitary Tee,Solvent-weld fitting for vertical drain stacks,"3 in ABS DWV Sanitary Tee is a trusted product in the plumbing and HVAC trade. Solvent-weld fitting for vertical drain stacks It offers proven reliability, making it a staple for contractors and facility managers.","3 in ABS DWV Sanitary Tee
Solvent-weld fitting for vertical drain stacks
3 in ABS DWV Sanitary Tee is a trusted product in the plumbing and HVAC trade. Solvent-weld fitting for vertical drain stacks It offers proven reliability, making it a staple for contractors and facility managers.",a56dc63f-e597-42a8-90bc-936925811ac5
2 in Hub x Hub Cleanout with Plug,Access fitting for rodding drain lines,"2 in Hub x Hub Cleanout with Plug is a trusted product in the plumbing and HVAC trade. Access fitting for rodding drain lines It offers proven reliability, making it a staple for contractors and facility managers.","2 in Hub x Hub Cleanout with Plug
Access fitting for rodding drain lines
2 in Hub x Hub Cleanout with Plug is a trusted product in the plumbing and HVAC trade. Access fitting for rodding drain lines It offers proven reliability, making it a staple for contractors and facility managers.",1e00fe09-2bfa-46e2-b798-38237f92045f
"½"" Copper Stub-Out Elbow with Bracket",Pre-formed transition from PEX main to fixture,"½"" Copper Stub-Out Elbow with Bracket is a trusted product in the plumbing and HVAC trade. Pre-formed transition from PEX main to fixture It offers proven reliability, making it a staple for contractors and facility managers.","½"" Copper Stub-Out Elbow with Bracket
Pre-formed transition from PEX main to fixture
½"" Copper Stub-Out Elbow with Bracket is a trusted product in the plumbing and HVAC trade. Pre-formed transition from PEX main to fixture It offers proven reliability, making it a staple for contractors and facility managers.",4d32367c-55c3-4bba-9981-d27fb4c78d6c
"Decorative Square Shower Drain, Brushed Nickel","4"" grate with threaded barrel adjustment","Decorative Square Shower Drain, Brushed Nickel is a key fixture for kitchens or bathrooms. 4"" grate with threaded barrel adjustment Built for long-term use, it combines performance with ease of operation, making it suitable for both residential and light commercial projects.","Decorative Square Shower Drain, Brushed Nickel
4"" grate with threaded barrel adjustment
Decorative Square Shower Drain, Brushed Nickel is a key fixture for kitchens or bathrooms. 4"" grate with threaded barrel adjustment Built for long-term use, it combines performance with ease of operation, making it suitable for both residential and light commercial projects.",06471a06-1cea-4574-9954-50d3d4968750
ADA Wall-Mounted Bathroom Sink,"Vitreous china with rear overflow and 8"" centers","ADA Wall-Mounted Bathroom Sink is a key fixture for kitchens or bathrooms. Vitreous china with rear overflow and 8"" centers Built for long-term use, it combines performance with ease of operation, making it suitable for both residential and light commercial projects.","ADA Wall-Mounted Bathroom Sink
Vitreous china with rear overflow and 8"" centers
ADA Wall-Mounted Bathroom Sink is a key fixture for kitchens or bathrooms. Vitreous china with rear overflow and 8"" centers Built for long-term use, it combines performance with ease of operation, making it suitable for both residential and light commercial projects.",9261a160-0bad-4a8b-a93a-1894541201e2
"Commercial Sensor-Operated Flushometer, 1.28 gpf","Battery-powered, exposed chrome valve","Commercial Sensor-Operated Flushometer, 1.28 gpf is a trusted product in the plumbing and HVAC trade. Battery-powered, exposed chrome valve It offers proven reliability, making it a staple for contractors and facility managers.","Commercial Sensor-Operated Flushometer, 1.28 gpf
Battery-powered, exposed chrome valve
Commercial Sensor-Operated Flushometer, 1.28 gpf is a trusted product in the plumbing and HVAC trade. Battery-powered, exposed chrome valve It offers proven reliability, making it a staple for contractors and facility managers.",ac949b6c-ed43-4ad2-ae6d-36083ea41fc6
"12"" Stainless Hand Dryer","High-speed, 120 V, HEPA-filtered air flow","12"" Stainless Hand Dryer is a trusted product in the plumbing and HVAC trade. High-speed, 120 V, HEPA-filtered air flow It offers proven reliability, making it a staple for contractors and facility managers.","12"" Stainless Hand Dryer
High-speed, 120 V, HEPA-filtered air flow
12"" Stainless Hand Dryer is a trusted product in the plumbing and HVAC trade. High-speed, 120 V, HEPA-filtered air flow It offers proven reliability, making it a staple for contractors and facility managers.",011205a4-a894-4b2f-8105-524b101656ce
"Touch-Free Soap Dispenser, 1-L","Countertop deck mount, compatible with bulk foaming soap","Touch-Free Soap Dispenser, 1-L is a trusted product in the plumbing and HVAC trade. Countertop deck mount, compatible with bulk foaming soap It offers proven reliability, making it a staple for contractors and facility managers.","Touch-Free Soap Dispenser, 1-L
Countertop deck mount, compatible with bulk foaming soap
Touch-Free Soap Dispenser, 1-L is a trusted product in the plumbing and HVAC trade. Countertop deck mount, compatible with bulk foaming soap It offers proven reliability, making it a staple for contractors and facility managers.",f3c41b90-d40a-48b2-a71a-38ab11075c03
8-gal Wet/Dry Shop Vacuum,"6-hp peak motor, HEPA cartridge and utility nozzle set","8-gal Wet/Dry Shop Vacuum is a trusted product in the plumbing and HVAC trade. 6-hp peak motor, HEPA cartridge and utility nozzle set It offers proven reliability, making it a staple for contractors and facility managers.","8-gal Wet/Dry Shop Vacuum
6-hp peak motor, HEPA cartridge and utility nozzle set
8-gal Wet/Dry Shop Vacuum is a trusted product in the plumbing and HVAC trade. 6-hp peak motor, HEPA cartridge and utility nozzle set It offers proven reliability, making it a staple for contractors and facility managers.",56877623-5464-40dc-b79c-ead12b86d7b8
"PPE Kit: Safety Glasses, N95, Gloves",Basic protection bundle for job-site plumbing tasks,"PPE Kit: Safety Glasses, N95, Gloves provides protection and compliance on job sites. Basic protection bundle for job-site plumbing tasks A practical choice for ensuring worker safety in plumbing, HVAC, or construction environments.","PPE Kit: Safety Glasses, N95, Gloves
Basic protection bundle for job-site plumbing tasks
PPE Kit: Safety Glasses, N95, Gloves provides protection and compliance on job sites. Basic protection bundle for job-site plumbing tasks A practical choice for ensuring worker safety in plumbing, HVAC, or construction environments.",7d21e899-01be-41ee-b18a-eb28c01c98f5
ANSI Class 2 High-Viz Vest,Mesh vest with reflective striping and zipper front,"ANSI Class 2 High-Viz Vest provides protection and compliance on job sites. Mesh vest with reflective striping and zipper front A practical choice for ensuring worker safety in plumbing, HVAC, or construction environments.","ANSI Class 2 High-Viz Vest
Mesh vest with reflective striping and zipper front
ANSI Class 2 High-Viz Vest provides protection and compliance on job sites. Mesh vest with reflective striping and zipper front A practical choice for ensuring worker safety in plumbing, HVAC, or construction environments.",ab51b0b3-fe41-46dd-88b7-e544a59c1717
"Fire-Rated Pipe Wrap, 2""",Intumescent wrap strip for plastic pipe penetrations,"Fire-Rated Pipe Wrap, 2"" provides a reliable solution for plumbing and mechanical systems. Intumescent wrap strip for plastic pipe penetrations It is commonly used by contractors and homeowners for new installations, retrofits, or repairs where durability and compatibility with standard fittings are essential.","Fire-Rated Pipe Wrap, 2""
Intumescent wrap strip for plastic pipe penetrations
Fire-Rated Pipe Wrap, 2"" provides a reliable solution for plumbing and mechanical systems. Intumescent wrap strip for plastic pipe penetrations It is commonly used by contractors and homeowners for new installations, retrofits, or repairs where durability and compatibility with standard fittings are essential.",239a3d73-c0c2-4efb-ba3c-3612595f20af
"Acoustic Pipe Insulation, 1"" x 6 ft","Closed-cell elastomeric sleeve, reduces condensate noise","Acoustic Pipe Insulation, 1"" x 6 ft provides a reliable solution for plumbing and mechanical systems. Closed-cell elastomeric sleeve, reduces condensate noise It is commonly used by contractors and homeowners for new installations, retrofits, or repairs where durability and compatibility with standard fittings are essential.","Acoustic Pipe Insulation, 1"" x 6 ft
Closed-cell elastomeric sleeve, reduces condensate noise
Acoustic Pipe Insulation, 1"" x 6 ft provides a reliable solution for plumbing and mechanical systems. Closed-cell elastomeric sleeve, reduces condensate noise It is commonly used by contractors and homeowners for new installations, retrofits, or repairs where durability and compatibility with standard fittings are essential.",ce957ebb-4c45-448c-aadc-d3d4012e1fdd
"Foil-Faced Fiberglass Duct Board, 1""",R-4.3 rigid panel for fabricated supply trunks,"Foil-Faced Fiberglass Duct Board, 1"" enhances HVAC performance by improving airflow control or energy efficiency. R-4.3 rigid panel for fabricated supply trunks Designed for compatibility with standard systems, it reduces energy loss and noise.","Foil-Faced Fiberglass Duct Board, 1""
R-4.3 rigid panel for fabricated supply trunks
Foil-Faced Fiberglass Duct Board, 1"" enhances HVAC performance by improving airflow control or energy efficiency. R-4.3 rigid panel for fabricated supply trunks Designed for compatibility with standard systems, it reduces energy loss and noise.",177c6f38-4f02-433f-a228-1ee03d0c1370
"Condensate Pump, 22-ft Lift","1/30-hp motor, overflow safety switch, 1-gal tank","Condensate Pump, 22-ft Lift delivers reliable water or fluid movement. 1/30-hp motor, overflow safety switch, 1-gal tank Its robust construction supports consistent operation in demanding environments like basements, hydronic systems, or sewage applications.","Condensate Pump, 22-ft Lift
1/30-hp motor, overflow safety switch, 1-gal tank
Condensate Pump, 22-ft Lift delivers reliable water or fluid movement. 1/30-hp motor, overflow safety switch, 1-gal tank Its robust construction supports consistent operation in demanding environments like basements, hydronic systems, or sewage applications.",595bd810-8fdb-4a43-87dd-068fb60a83bf
"Mini-Split Line-Set Cover Kit, 14-ft","UV-resistant PVC trunking for ⅜"" x ⅝"" pair","Mini-Split Line-Set Cover Kit, 14-ft is a trusted product in the plumbing and HVAC trade. UV-resistant PVC trunking for ⅜"" x ⅝"" pair It offers proven reliability, making it a staple for contractors and facility managers.","Mini-Split Line-Set Cover Kit, 14-ft
UV-resistant PVC trunking for ⅜"" x ⅝"" pair
Mini-Split Line-Set Cover Kit, 14-ft is a trusted product in the plumbing and HVAC trade. UV-resistant PVC trunking for ⅜"" x ⅝"" pair It offers proven reliability, making it a staple for contractors and facility managers.",9a7c82c1-7782-4b8d-b100-b2d368f1d299
"Roof Topper Pipe Support, 6""",Strut-mounted cradle for mechanical and gas piping,"Roof Topper Pipe Support, 6"" provides a reliable solution for plumbing and mechanical systems. Strut-mounted cradle for mechanical and gas piping It is commonly used by contractors and homeowners for new installations, retrofits, or repairs where durability and compatibility with standard fittings are essential.","Roof Topper Pipe Support, 6""
Strut-mounted cradle for mechanical and gas piping
Roof Topper Pipe Support, 6"" provides a reliable solution for plumbing and mechanical systems. Strut-mounted cradle for mechanical and gas piping It is commonly used by contractors and homeowners for new installations, retrofits, or repairs where durability and compatibility with standard fittings are essential.",857db674-0eff-4571-b34b-976415374160
"Threaded Rod, ⅜"" x 10' Zinc-Plated",All-thread for trapeze and hanger assemblies,"Threaded Rod, ⅜"" x 10' Zinc-Plated is a trusted product in the plumbing and HVAC trade. All-thread for trapeze and hanger assemblies It offers proven reliability, making it a staple for contractors and facility managers.","Threaded Rod, ⅜"" x 10' Zinc-Plated
All-thread for trapeze and hanger assemblies
Threaded Rod, ⅜"" x 10' Zinc-Plated is a trusted product in the plumbing and HVAC trade. All-thread for trapeze and hanger assemblies It offers proven reliability, making it a staple for contractors and facility managers.",34596180-5049-4ba2-84de-5285bd4600db
"2-Hole Copper Pipe Clamp, ¾""",EPDM-lined cushion clamp for noise isolation,"2-Hole Copper Pipe Clamp, ¾"" provides a reliable solution for plumbing and mechanical systems. EPDM-lined cushion clamp for noise isolation It is commonly used by contractors and homeowners for new installations, retrofits, or repairs where durability and compatibility with standard fittings are essential.","2-Hole Copper Pipe Clamp, ¾""
EPDM-lined cushion clamp for noise isolation
2-Hole Copper Pipe Clamp, ¾"" provides a reliable solution for plumbing and mechanical systems. EPDM-lined cushion clamp for noise isolation It is commonly used by contractors and homeowners for new installations, retrofits, or repairs where durability and compatibility with standard fittings are essential.",70f8bdd6-641d-4c16-98ea-56f61b4ac002
"Rubber Test Ball, 3""–4""",Inflatable test plug with Schrader valve and hose fitting,"Rubber Test Ball, 3""–4"" is a trusted product in the plumbing and HVAC trade. Inflatable test plug with Schrader valve and hose fitting It offers proven reliability, making it a staple for contractors and facility managers.","Rubber Test Ball, 3""–4""
Inflatable test plug with Schrader valve and hose fitting
Rubber Test Ball, 3""–4"" is a trusted product in the plumbing and HVAC trade. Inflatable test plug with Schrader valve and hose fitting It offers proven reliability, making it a staple for contractors and facility managers.",5106c71a-93b7-4df9-a815-8c3130178db2
"Plumber’s Silicone Grease, 4 oz",NSF-61 lubricant for O-rings and faucet cartridges,"Plumber’s Silicone Grease, 4 oz is a trusted product in the plumbing and HVAC trade. NSF-61 lubricant for O-rings and faucet cartridges It offers proven reliability, making it a staple for contractors and facility managers.","Plumber’s Silicone Grease, 4 oz
NSF-61 lubricant for O-rings and faucet cartridges
Plumber’s Silicone Grease, 4 oz is a trusted product in the plumbing and HVAC trade. NSF-61 lubricant for O-rings and faucet cartridges It offers proven reliability, making it a staple for contractors and facility managers.",3e929fd1-9872-4303-8d1e-441a9d0f9fc4
"1"" PTFE Thread Seal Tape, 520"" Roll","For water, air, and gas threaded joints","1"" PTFE Thread Seal Tape, 520"" Roll is a trusted product in the plumbing and HVAC trade. For water, air, and gas threaded joints It offers proven reliability, making it a staple for contractors and facility managers.","1"" PTFE Thread Seal Tape, 520"" Roll
For water, air, and gas threaded joints
1"" PTFE Thread Seal Tape, 520"" Roll is a trusted product in the plumbing and HVAC trade. For water, air, and gas threaded joints It offers proven reliability, making it a staple for contractors and facility managers.",e6c5fe6b-6c13-4b9e-96d1-19d8aef71ce2
"Pig Tail Manometer, 0–15"" wc",U-tube gauge for furnace and regulator pressure checks,"Pig Tail Manometer, 0–15"" wc is a trusted product in the plumbing and HVAC trade. U-tube gauge for furnace and regulator pressure checks It offers proven reliability, making it a staple for contractors and facility managers.","Pig Tail Manometer, 0–15"" wc
U-tube gauge for furnace and regulator pressure checks
Pig Tail Manometer, 0–15"" wc is a trusted product in the plumbing and HVAC trade. U-tube gauge for furnace and regulator pressure checks It offers proven reliability, making it a staple for contractors and facility managers.",3927308f-5dc1-4512-8c11-c0720a50ac70
